# data format,5,
#,30,30,900,35,35,5,5,
#  xx,   yy, zz,   uu,   vv, ww,
    5,    5,  0,   15,   -8,  0,
   40,    5,  0,  -13,   15,  0,
   75,    5,  0,   15,  -10,  0,
  110,    5,  0,    9,  -15,  0,
  145,    5,  0,  -10,  -15,  0,
  180,    5,  0,  -15,  -15,  0,
  215,    5,  0,   15,   14,  0,
  250,    5,  0,   15,  -15,  0,
  285,    5,  0,   13,  -15,  0,
  320,    5,  0,  -13,   -4,  0,
  355,    5,  0,   15,  -15,  0,
  390,    5,  0,   13,  -12,  0,
  425,    5,  0,   13,    0,  0,
  460,    5,  0,   13,    1,  0,
  495,    5,  0,  -15,  -15,  0,
  530,    5,  0,  -12,   -6,  0,
  565,    5,  0,  -12,  -15,  0,
  600,    5,  0,  -14,  -15,  0,
  635,    5,  0,  -15,   11,  0,
  670,    5,  0,  -15,  -15,  0,
  705,    5,  0,   15,  -15,  0,
  740,    5,  0,  -15,  -15,  0,
  775,    5,  0,    3,  -14,  0,
  810,    5,  0,    6,   -1,  0,
  845,    5,  0,    8,  -15,  0,
  880,    5,  0,  -15,  -10,  0,
  915,    5,  0,   -5,   11,  0,
  950,    5,  0,  -15,  -15,  0,
  985,    5,  0,  -13,    8,  0,
 1020,    5,  0,   14,  -13,  0,
,
    5,   40,  0,  -15,  -15,  0,
   40,   40,  0,   15,   12,  0,
   75,   40,  0,  -14,   15,  0,
  110,   40,  0,   15,   -7,  0,
  145,   40,  0,   14,   12,  0,
  180,   40,  0,    9,  -15,  0,
  215,   40,  0,  -13,    7,  0,
  250,   40,  0,  -14,  -15,  0,
  285,   40,  0,   12,  -14,  0,
  320,   40,  0,  -14,   15,  0,
  355,   40,  0,   15,    7,  0,
  390,   40,  0,   10,  -15,  0,
  425,   40,  0,   15,   10,  0,
  460,   40,  0,  -15,  -14,  0,
  495,   40,  0,  -13,   15,  0,
  530,   40,  0,    9,   13,  0,
  565,   40,  0,   14,   13,  0,
  600,   40,  0,   11,   -8,  0,
  635,   40,  0,  -15,   -7,  0,
  670,   40,  0,  -15,   14,  0,
  705,   40,  0,   13,   11,  0,
  740,   40,  0,   14,  -15,  0,
  775,   40,  0,   10,   -8,  0,
  810,   40,  0,  -15,   15,  0,
  845,   40,  0,  -14,   15,  0,
  880,   40,  0,  -15,    7,  0,
  915,   40,  0,   -9,   15,  0,
  950,   40,  0,   11,  -14,  0,
  985,   40,  0,   -4,   11,  0,
 1020,   40,  0,   15,   15,  0,
,
    5,   75,  0,  -13,    9,  0,
   40,   75,  0,  -12,  -15,  0,
   75,   75,  0,  -13,  -10,  0,
  110,   75,  0,  -14,   15,  0,
  145,   75,  0,  -15,  -15,  0,
  180,   75,  0,  -13,    7,  0,
  215,   75,  0,   11,   15,  0,
  250,   75,  0,   -9,  -14,  0,
  285,   75,  0,    3,   15,  0,
  320,   75,  0,  -14,   15,  0,
  355,   75,  0,   15,   14,  0,
  390,   75,  0,  -15,    8,  0,
  425,   75,  0,  -14,  -14,  0,
  460,   75,  0,  -14,   14,  0,
  495,   75,  0,   11,  -11,  0,
  530,   75,  0,   -9,  -15,  0,
  565,   75,  0,  -15,  -11,  0,
  600,   75,  0,  -14,   14,  0,
