# data format,5,
#,8,8,64,35,35,6,6,
#  xx,   yy, zz,   uu,   vv, ww,
    6,    6,  0,   11,    0,  0,
   41,    6,  0,   10,   -1,  0,
   76,    6,  0,   10,    0,  0,
  111,    6,  0,    8,    1,  0,
  146,    6,  0,    8,    0,  0,
  181,    6,  0,  -13,  -15,  0,
  216,    6,  0,   12,    0,  0,
  251,    6,  0,    8,  -12,  0,
,
    6,   41,  0,   12,    1,  0,
   41,   41,  0,   11,    0,  0,
   76,   41,  0,    9,    0,  0,
  111,   41,  0,    8,    1,  0,
  146,   41,  0,   10,   -1,  0,
  181,   41,  0,   12,    0,  0,
  216,   41,  0,   10,    1,  0,
  251,   41,  0,    8,    2,  0,
,
    6,   76,  0,   11,    4,  0,
   41,   76,  0,    8,    3,  0,
   76,   76,  0,    8,    0,  0,
  111,   76,  0,    9,    0,  0,
  146,   76,  0,   10,   -3,  0,
  181,   76,  0,   10,   -2,  0,
  216,   76,  0,   11,    0,  0,
  251,   76,  0,   11,    1,  0,
,
    6,  111,  0,   12,    7,  0,
   41,  111,  0,    9,    3,  0,
   76,  111,  0,    7,   -1,  0,
  111,  111,  0,    9,   -3,  0,
  146,  111,  0,   10,   -3,  0,
  181,  111,  0,    9,   -2,  0,
  216,  111,  0,    7,    0,  0,
  251,  111,  0,    7,    1,  0,
,
    6,  146,  0,   10,    7,  0,
   41,  146,  0,    8,    2,  0,
   76,  146,  0,    7,   -1,  0,
  111,  146,  0,    6,   -3,  0,
  146,  146,  0,    7,   -3,  0,
  181,  146,  0,    7,   -1,  0,
  216,  146,  0,    5,    0,  0,
  251,  146,  0,    5,   -1,  0,
,
    6,  181,  0,    9,    2,  0,
   41,  181,  0,    8,    1,  0,
   76,  181,  0,    7,   -2,  0,
  111,  181,  0,    6,   -3,  0,
  146,  181,  0,    4,   -2,  0,
  181,  181,  0,    2,   -2,  0,
  216,  181,  0,    2,   -2,  0,
  251,  181,  0,    3,   -2,  0,
,
    6,  216,  0,    5,    2,  0,
   41,  216,  0,    6,    1,  0,
   76,  216,  0,    4,   -2,  0,
  111,  216,  0,    3,   -2,  0,
  146,  216,  0,    2,   -2,  0,
  181,  216,  0,    2,   -2,  0,
  216,  216,  0,    1,   -3,  0,
  251,  216,  0,    1,   -3,  0,
,
    6,  251,  0,    3,    1,  0,
   41,  251,  0,    3,    0,  0,
   76,  251,  0,    3,   -1,  0,
  111,  251,  0,    2,   -2,  0,
  146,  251,  0,    2,   -2,  0,
  181,  251,  0,    2,   -2,  0,
  216,  251,  0,    1,   -2,  0,
  251,  251,  0,    1,   -2,  0,
,
