#dataformat,5,,,,,,
#,32,32,1024,8,8,4,4
#x, y, z, u, v, w, cc,
4,4,0,9.9414694,-0.164391767,-1.066555167,1,
12,4,0,9.104979933,-0.2076521,-1.304545633,1,
20,4,0,8.268490433,-0.1549138,-1.306977233,1,
28,4,0,7.5295119,-0.102175467,-1.309408867,1,
36,4,0,6.968915967,-0.049437167,-1.311840467,1,
44,4,0,6.408320033,0.033843667,-1.098293467,1,
52,4,0,5.8477241,0.1435918,-0.697585,1,
60,4,0,5.9199096,0.253339933,-0.2968765,1,
68,4,0,6.240569833,0.363088067,0.103831967,1,
76,4,0,6.561230067,0.2807689,0.125763633,1,
84,4,0,6.8818903,0.147612267,0.047438533,1,
92,4,0,6.7466792,0.014455633,-0.030886567,1,
100,4,0,6.539329267,-0.118700967,-0.109211667,1,
108,4,0,6.331979333,-0.019190567,-0.707477767,1,
116,4,0,6.126549233,0.096919867,-1.342839867,1,
124,4,0,6.4783368,0.213030267,-1.978202,1,
132,4,0,6.830124367,0.329140667,-2.6135641,1,
140,4,0,7.1819119,0.479672767,-3.2344011,1,
148,4,0,7.533699467,0.6314173,-3.854726467,1,
156,4,0,7.704628967,0.783161867,-4.475051833,1,
164,4,0,7.8616345,0.9349064,-5.095377233,1,
172,4,0,8.018640067,0.912768533,-4.829673267,1,
180,4,0,8.1756456,0.869474833,-4.456168133,1,
188,4,0,7.935430767,0.8261811,-4.082663,1,
196,4,0,7.627603133,0.782887367,-3.709157833,1,
204,4,0,7.3197755,0.707214667,-3.1931961,1,
212,4,0,7.0119479,0.6185861,-2.620232667,1,
220,4,0,6.7141051,0.529957533,-2.047269267,1,
228,4,0,6.423675933,0.441328967,-1.474305867,1,
236,4,0,6.1332468,0.383427133,-1.096398867,1,
244,4,0,5.842817633,0.364749567,-0.967491533,1,
252,4,0,5.535971433,0.346071967,-0.838584233,1,
,,,,,,,
4,12,0,11.1120397,-0.015501467,1.034969233,1,
12,12,0,10.48743773,-0.032713467,0.666936767,1,
20,12,0,9.862835767,-0.291802167,0.515672,1,
28,12,0,9.5341599,-0.5508909,0.3644072,1,
36,12,0,9.746839367,-0.809979633,0.213142433,1,
44,12,0,9.959518833,-0.845408833,0.1434627,1,
52,12,0,10.17219833,-0.687020467,0.144482433,1,
60,12,0,10.45500627,-0.528632067,0.1455022,1,
68,12,0,10.76535157,-0.3702437,0.146521933,1,
76,12,0,11.0756969,-0.1811347,-0.2423937,1,
84,12,0,11.3860422,0.0161056,-0.734519567,1,
92,12,0,10.60149083,0.2133459,-1.226645467,1,
100,12,0,9.6436787,0.410586233,-1.718771367,1,
108,12,0,8.6858666,0.294957467,-1.834470733,1,
116,12,0,7.730311967,0.1570066,-1.923313367,1,
124,12,0,7.429968,0.019055733,-2.012156,1,
132,12,0,7.129624067,-0.118895133,-2.100998633,1,
140,12,0,6.829280133,-0.2850418,-2.006844233,1,
148,12,0,6.528936167,-0.452181633,-1.9062439,1,
156,12,0,7.737195933,-0.6193215,-1.8056436,1,
164,12,0,9.0616005,-0.786461333,-1.7050433,1,
172,12,0,10.38600507,-0.650951867,-1.587240867,1,
180,12,0,11.71040963,-0.478619767,-1.4673455,1,
188,12,0,12.0345233,-0.306287667,-1.347450133,1,
196,12,0,12.18837273,-0.133955533,-1.227554733,1,
204,12,0,12.34222213,-0.011744033,-1.189094833,1,
212,12,0,12.49607153,0.090412533,-1.183219967,1,
220,12,0,12.43990377,0.192569067,-1.1773451,1,
228,12,0,12.22780017,0.294725633,-1.171470233,1,
236,12,0,12.0156966,0.383202933,-1.125037167,1,
244,12,0,11.803593,0.4542179,-1.026829433,1,
252,12,0,11.77916103,0.525232867,-0.928621733,1,
,,,,,,,
4,20,0,11.49796077,0.090619467,1.7970683,1,
12,20,0,11.134358,0.063929233,1.7012441,1,
20,20,0,10.7707552,-0.373539867,1.1752667,1,
28,20,0,10.59082433,-0.811008967,0.6492893,1,
36,20,0,10.74689563,-1.248478067,0.1233119,1,
44,20,0,10.9029669,-1.371131867,-0.264206367,1,
52,20,0,11.0590382,-1.220974767,-0.531739533,1,
60,20,0,10.86694693,-1.0708177,-0.799272667,1,
68,20,0,10.5381424,-0.920660633,-1.0668058,1,
76,20,0,10.20933787,-0.460283367,-1.513561167,1,
84,20,0,9.880533333,0.0822047,-2.007754067,1,
92,20,0,9.5034576,0.624692767,-2.501946967,1,
100,20,0,9.118743267,1.167180833,-2.996139867,1,
108,20,0,8.734028933,1.059069667,-2.521681233,1,
116,20,0,8.350210367,0.9045405,-1.9781127,1,
124,20,0,8.226385167,0.750011333,-1.434544167,1,
132,20,0,8.10256,0.5954822,-0.890975633,1,
140,20,0,7.9787348,0.140467167,-0.771422267,1,
148,20,0,7.8549096,-0.3251322,-0.666804467,1,
156,20,0,8.8663884,-0.790731567,-0.562186667,1,
164,20,0,9.9652723,-1.256330933,-0.457568833,1,
172,20,0,11.0641562,-1.177664667,-0.5198273,1,
180,20,0,12.1630401,-1.032778833,-0.602389233,1,
188,20,0,12.66877147,-0.887893,-0.684951167,1,
196,20,0,13.07353957,-0.743007167,-0.7675131,1,
204,20,0,13.47830763,-0.464709833,-0.7068274,1,
